Aika,Signaali
0.023640846,-0.3126497269
0.031544898,-0.2736625671
0.039448951,-0.2383050919
0.047353004,-0.08563804626
0.055287574,-0.1725764275
0.063161109,-0.1590232849
0.071126197,-0.2836899757
0.078999732,-0.4246220589
0.086873267,-0.444653511
0.094807838,-0.3978228569
0.10271189,-0.3588848114
0.110646461,-0.389439106
0.118550513,-0.2794160843
0.126454566,-0.2355165482
0.134358619,-0.328971386
0.142262672,-0.2060446739
0.150197242,-0.1980547905
0.158070777,-0.2630186081
0.16597483,-0.2355670929
0.1739094,-0.2122750282
0.181782935,-0.1791448593
0.189717506,-0.2386651039
0.197652076,-0.1692142487
0.205525611,-0.1343073845
0.213460181,-0.2537455559
0.221333717,-0.4417619705
0.229268287,-0.3274722099
0.237141822,-0.4633078575
0.245015357,-0.3614654541
0.252949928,-0.3064069748
0.26085398,-0.2656030655
0.268788551,-0.3878188133
0.276662086,-0.2835526466
0.284535621,-0.1560268402
0.292500709,-0.05401992798
0.300374244,-0.1180934906
0.308339332,-0.1845984459
0.316212867,-0.2695398331
0.324086402,-0.2175321579
0.33205149,-0.2775893211
0.339925025,-0.2009468079
0.34779856,-0.2818593979
0.355733131,-0.5475492477
0.363606666,-0.3642129898
0.371541236,-0.1986918449
0.379445289,-0.2245249748
0.387318824,-0.1840763092
0.395253394,-0.1624102592
0.40312693,-0.1554660797
0.4110615,-0.1815114021
0.418904517,-0.1867451668
0.426869605,-0.0895614624
0.43474314,0.2178115845
0.442616676,0.5672979355
0.450581763,0.7762880325
0.458424781,1.023747444
0.466389869,1.248893738
0.474293922,1.514608383
0.482167457,1.63223505
0.490102027,1.652981758
0.49800608,1.557124615
0.50594065,1.459872246
0.513814185,1.253601551
0.521687721,1.11311388
0.529652808,0.9948000908
0.537526344,0.8784003258
0.545460914,0.6890649796
0.553334449,0.5273919106
0.561207984,0.2569818497
0.569173072,-0.02238416672
0.577046607,-0.2872309685
0.584981178,-0.6253516674
0.59288523,-0.9461336136
0.600758765,-1.298761606
0.608693336,-1.552607059
0.616597388,-1.781600237
0.624531959,-1.911515713
0.632436012,-2.005866528
